"","h","lower","median","upper"
"1",0.42,0,0.00150908790747841,0.0558411348051872
"2",0.421,0,0.0016121002503701,0.0567659908376964
"3",0.422,0,0.00171511259326179,0.0576908468702056
"4",0.423,0,0.00181812493615349,0.0586157029027147
"5",0.424,0,0.00192113727904518,0.0595405589352239
"6",0.425,0,0.00202414962193688,0.0604654149677331
"7",0.426,0,0.00212716196482857,0.0613902710002423
"8",0.427,0,0.00223017430772026,0.0623151270327515
"9",0.428,0,0.00233318665061196,0.0632399830652607
"10",0.429,0,0.00243619899350365,0.0641648390977698
"11",0.43,0,0.00253921133639534,0.065089695130279
"12",0.431,0,0.00264222367928704,0.0660145511627882
"13",0.432,0,0.00274523602217873,0.0669394071952974
"14",0.433,0,0.00284824836507043,0.0678642632278066
"15",0.434,0,0.00295126070796212,0.0687891192603158
"16",0.435,0,0.00305427305085381,0.0697139752928249
"17",0.436,0,0.00315728539374551,0.0706388313253341
"18",0.437,0,0.0032602977366372,0.0715636873578433
"19",0.438,0,0.00336331007952889,0.0724885433903525
"20",0.439,0,0.00346632242242059,0.0734133994228617
"21",0.44,0,0.00356933476531228,0.0743382554553708
"22",0.441,0,0.00367234710820398,0.07526311148788
"23",0.442,0,0.00377535945109567,0.0761879675203892
"24",0.443,0,0.00387837179398736,0.0771128235528984
"25",0.444,0,0.00398138413687906,0.0780376795854076
"26",0.445,0,0.00408439647977075,0.0789625356179167
"27",0.446,0,0.00418740882266244,0.0798873916504259
"28",0.447,0,0.00429042116555414,0.0808122476829351
"29",0.448,0,0.00439343350844583,0.0817371037154443
"30",0.449,0,0.00449644585133753,0.0826619597479535
"31",0.45,0,0.00459945819422921,0.0835868157804626
"32",0.451,0,0.00470247053712091,0.0845116718129718
"33",0.452,0,0.0048054828800126,0.0854365278454809
"34",0.453,0,0.00490849522290429,0.0863613838779901
"35",0.454,0,0.00501150756579599,0.0872862399104993
"36",0.455,0,0.00511451990868768,0.0882110959430085
"37",0.456,0,0.00561907842964037,0.0893509969995326
"38",0.457,0,0.00634025032482193,0.0906069037132092
"39",0.458,0,0.00706142222000348,0.0918628104268857
"40",0.459,0,0.00778259411518503,0.0931187171405622
"41",0.46,0,0.00850376601036659,0.0943746238542388
"42",0.461,0,0.00922493790554814,0.0956305305679153
"43",0.462,0,0.00994610980072969,0.0968864372815918
"44",0.463,0,0.0106672816959112,0.0981423439952684
"45",0.464,0,0.0113884535910928,0.0993982507089449
"46",0.465,0,0.0121096254862744,0.100654157422621
"47",0.466,0,0.0128307973814559,0.101910064136298
"48",0.467,0,0.0135519692766375,0.103165970849975
"49",0.468,0,0.014273141171819,0.104421877563651
"50",0.469,0,0.0149943130670006,0.105677784277328
"51",0.47,0,0.0157154849621821,0.106933690991004
"52",0.471,0,0.0164366568573637,0.108189597704681
"53",0.472,0,0.0171578287525452,0.109445504418357
"54",0.473,0,0.0178790006477268,0.110701411132034
"55",0.474,0,0.0186001725429083,0.11195731784571
"56",0.475,0,0.0193213444380899,0.113213224559387
"57",0.476,0,0.0200425163332714,0.114469131273063
"58",0.477,0,0.020763688228453,0.11572503798674
"59",0.478,0,0.0214848601236345,0.116980944700416
"60",0.479,0,0.0222060320188161,0.118236851414093
"61",0.48,0,0.0229272039139976,0.119492758127769
"62",0.481,0,0.0236483758091792,0.120748664841446
"63",0.482,0,0.0243695477043608,0.122004571555123
"64",0.483,0,0.0250907195995423,0.123260478268799
"65",0.484,0,0.0258118914947239,0.124516384982476
"66",0.485,0,0.0265330633899054,0.125772291696152
"67",0.486,0,0.027254235285087,0.127028198409829
"68",0.487,0,0.0279754071802685,0.128284105123505
"69",0.488,0,0.0286965790754501,0.129540011837182
"70",0.489,0,0.0294177509706316,0.130795918550858
"71",0.49,0,0.0301389228658132,0.132051825264535
"72",0.491,0,0.0308600947609947,0.133307731978211
"73",0.492,0,0.0315812666561763,0.134563638691888
"74",0.493,0,0.0323024385513578,0.135819545405564
"75",0.494,0,0.0330236104465394,0.137075452119241
"76",0.495,0,0.0337447823417209,0.138331358832917
"77",0.496,0,0.0344659542369025,0.139587265546594
"78",0.497,0,0.0351871261320841,0.140843172260271
"79",0.498,0,0.0359082980272656,0.142099078973947
"80",0.499,0,0.0366294699224472,0.143354985687624
"81",0.5,0,0.0373506418176287,0.1446108924013
"82",0.501,0,0.0380718137128103,0.145866799114977
"83",0.502,0,0.0387929856079918,0.147122705828653
"84",0.503,0,0.0395141575031734,0.14837861254233
"85",0.504,0,0.0402353293983549,0.149634519256006
"86",0.505,0,0.0409565012935365,0.150890425969683
"87",0.506,0.000714171454565537,0.0422110457795831,0.152240850118829
"88",0.507,0.00181360143480888,0.0437533171646537,0.153642261531057
"89",0.508,0.00291303141505222,0.0452955885497243,0.155043672943286
"90",0.509,0.00401246139529557,0.0468378599347949,0.156445084355514
"91",0.51,0.00511189137553891,0.0483801313198655,0.157846495767742
"92",0.511,0.00621132135578225,0.0499224027049361,0.159247907179971
"93",0.512,0.0073107513360256,0.0514646740900067,0.160649318592199
"94",0.513,0.00841018131626894,0.0530069454750773,0.162050730004427
"95",0.514,0.00950961129651228,0.0545492168601479,0.163452141416656
"96",0.515,0.0106090412767556,0.0560914882452185,0.164853552828884
"97",0.516,0.011708471256999,0.0576337596302891,0.166254964241112
"98",0.517,0.0128079012372423,0.0591760310153597,0.167656375653341
"99",0.518,0.0139073312174857,0.0607183024004303,0.169057787065569
"100",0.519,0.015006761197729,0.0622605737855009,0.170459198477797
"101",0.52,0.0161061911779723,0.0638028451705715,0.171860609890026
"102",0.521,0.0172056211582157,0.0653451165556421,0.173262021302254
"103",0.522,0.018305051138459,0.0668873879407127,0.174663432714482
"104",0.523,0.0194044811187024,0.0684296593257833,0.176064844126711
"105",0.524,0.0205039110989457,0.0699719307108539,0.177466255538939
"106",0.525,0.0216033410791891,0.0715142020959245,0.178867666951168
"107",0.526,0.0227027710594324,0.0730564734809951,0.180269078363396
"108",0.527,0.0238022010396757,0.0745987448660658,0.181670489775624
"109",0.528,0.0249016310199191,0.0761410162511364,0.183071901187853
"110",0.529,0.0260010610001624,0.077683287636207,0.184473312600081
"111",0.53,0.0271004909804058,0.0792255590212776,0.185874724012309
"112",0.531,0.0281999209606491,0.0807678304063482,0.187276135424538
"113",0.532,0.0292993509408925,0.0823101017914188,0.188677546836766
"114",0.533,0.0303987809211358,0.0838523731764894,0.190078958248994
"115",0.534,0.0314982109013791,0.08539464456156,0.191480369661223
"116",0.535,0.0325976408816225,0.0869369159466306,0.192881781073451
"117",0.536,0.0336970708618658,0.0884791873317012,0.194283192485679
"118",0.537,0.0347965008421092,0.0900214587167718,0.195684603897908
"119",0.538,0.0358959308223525,0.0915637301018424,0.197086015310136
"120",0.539,0.0369953608025959,0.093106001486913,0.198487426722364
"121",0.54,0.0380947907828392,0.0946482728719836,0.199888838134593
"122",0.541,0.0391942207630824,0.096190544257054,0.201290249546821
"123",0.542,0.0402936507433259,0.0977328156421248,0.20269166095905
"124",0.543,0.0413930807235691,0.0992750870271953,0.204093072371278
"125",0.544,0.0424925107038126,0.100817358412266,0.205494483783506
"126",0.545,0.0435919406840558,0.102359629797336,0.206895895195734
"127",0.546,0.0446913706642993,0.103901901182407,0.208297306607963
"128",0.547,0.0457908006445425,0.105444172567478,0.209698718020191
"129",0.548,0.046890230624786,0.106986443952548,0.21110012943242
"130",0.549,0.0479896606050292,0.108528715337619,0.212501540844648
"131",0.55,0.0490890905852726,0.11007098672269,0.213902952256876
"132",0.551,0.0501885205655159,0.11161325810776,0.215304363669105
"133",0.552,0.0512879505457593,0.113155529492831,0.216705775081333
"134",0.553,0.0523873805260025,0.114697800877901,0.218107186493561
"135",0.554,0.053486810506246,0.116240072262972,0.21950859790579
"136",0.555,0.0545862404864892,0.117782343648043,0.220910009318018
"137",0.556,0.0566339014501066,0.119923514375603,0.222500149215542
"138",0.557,0.0591930839374716,0.12238776029224,0.224192098360039
"139",0.558,0.0617522664248371,0.124852006208877,0.225884047504536
"140",0.559,0.064311448912202,0.127316252125514,0.227575996649032
"141",0.56,0.0668706313995676,0.129780498042152,0.229267945793529
"142",0.561,0.0694298138869325,0.132244743958789,0.230959894938025
"143",0.562,0.071988996374298,0.134708989875426,0.232651844082522
"144",0.563,0.074548178861663,0.137173235792063,0.234343793227018
"145",0.564,0.0771073613490285,0.139637481708701,0.236035742371515
"146",0.565,0.0796665438363934,0.142101727625338,0.237727691516012
"147",0.566,0.0822257263237587,0.144565973541975,0.239419640660508
"148",0.567,0.0847849088111239,0.147030219458612,0.241111589805005
"149",0.568,0.0873440912984891,0.149494465375249,0.242803538949501
"150",0.569,0.0899032737858544,0.151958711291886,0.244495488093998
"151",0.57,0.0924624562732196,0.154422957208524,0.246187437238495
"152",0.571,0.0950216387605849,0.156887203125161,0.247879386382991
"153",0.572,0.0975808212479501,0.159351449041798,0.249571335527488
"154",0.573,0.100140003735315,0.161815694958435,0.251263284671984
"155",0.574,0.102699186222681,0.164279940875072,0.252955233816481
"156",0.575,0.105258368710046,0.166744186791709,0.254647182960978
"157",0.576,0.107817551197411,0.169208432708347,0.256339132105474
"158",0.577,0.110376733684776,0.171672678624984,0.258031081249971
"159",0.578,0.112935916172141,0.174136924541621,0.259723030394467
"160",0.579,0.115495098659507,0.176601170458258,0.261414979538964
"161",0.58,0.118054281146872,0.179065416374895,0.263106928683461
"162",0.581,0.120613463634237,0.181529662291533,0.264798877827957
"163",0.582,0.123172646121602,0.18399390820817,0.266490826972454
"164",0.583,0.125731828608968,0.186458154124807,0.26818277611695
"165",0.584,0.128291011096333,0.188922400041444,0.269874725261447
"166",0.585,0.130850193583698,0.191386645958081,0.271566674405944
"167",0.586,0.133409376071063,0.193850891874719,0.27325862355044
"168",0.587,0.135968558558429,0.196315137791356,0.274950572694937
"169",0.588,0.138527741045794,0.198779383707993,0.276642521839433
"170",0.589,0.141086923533159,0.20124362962463,0.27833447098393
"171",0.59,0.143646106020524,0.203707875541267,0.280026420128427
"172",0.591,0.146205288507889,0.206172121457905,0.281718369272923
"173",0.592,0.148764470995255,0.208636367374542,0.28341031841742
"174",0.593,0.15132365348262,0.211100613291179,0.285102267561916
"175",0.594,0.153882835969985,0.213564859207816,0.286794216706413
"176",0.595,0.15644201845735,0.216029105124453,0.28848616585091
"177",0.596,0.159001200944716,0.218493351041091,0.290178114995406
"178",0.597,0.161560383432081,0.220957596957728,0.291870064139903
"179",0.598,0.164119565919446,0.223421842874365,0.293562013284399
"180",0.599,0.166678748406811,0.225886088791002,0.295253962428896
"181",0.6,0.169237930894177,0.228350334707639,0.296945911573393
"182",0.601,0.171797113381542,0.230814580624277,0.298637860717889
"183",0.602,0.174356295868907,0.233278826540914,0.300329809862386
"184",0.603,0.176915478356272,0.235743072457551,0.302021759006882
"185",0.604,0.179474660843638,0.238207318374188,0.303713708151379
"186",0.605,0.182033843331003,0.240671564290825,0.305405657295876
